year,masskill,popn
1982,1,231.66
1983,0,233.79
1984,2,235.82
1985,0,237.92
1986,1,240.13
1987,1,242.29
1988,1,244.5
1989,2,246.82
1990,1,249.62
1991,3,252.98
1992,2,256.51
1993,4,259.92
1994,1,263.13
1995,1,266.28
1996,1,269.39
1997,2,272.65
1998,3,275.85
1999,5,279.04
2000,1,282.16
2001,1,284.97
2002,0,287.63
2003,1,290.11
2004,1,292.81
2005,2,295.52
2006,3,298.38
2007,4,301.23
2008,3,304.09
2009,4,306.77
2010,1,309.33
2011,3,311.58
2012,7,313.87
2013,5,316.06
2014,4,318.39
2015,7,320.74
2016,6,323.07
2017,11,325.15
2018,12,327.17
